vehicle_type,journey_purpose_of_driver,sex_of_driver,driver_imd_decile,driver_home_area_type,light_conditions,weather_conditions,time_category_encoded,day_type_encoded,location_category_encoded,age_category_encoded
9.0,6.0,1.0,4.0,1.0,1.0,1.0,1,0,18,1
98.0,1.0,1.0,4.0,1.0,1.0,1.0,3,0,30,1
9.0,5.0,1.0,3.0,1.0,6.0,1.0,3,0,8,3
9.0,6.0,1.0,2.0,1.0,1.0,1.0,0,0,0,2
9.0,2.0,2.0,3.0,1.0,1.0,1.0,3,0,0,1
9.0,6.0,1.0,1.0,1.0,4.0,1.0,2,0,3,2
90.0,5.0,2.0,1.0,1.0,1.0,1.0,3,0,18,2
9.0,5.0,1.0,7.0,3.0,1.0,1.0,0,0,31,4
5.0,6.0,1.0,3.0,1.0,1.0,1.0,1,1,8,1
9.0,6.0,1.0,2.0,1.0,4.0,1.0,2,1,3,3
9.0,5.0,2.0,9.0,1.0,5.0,1.0,4,0,26,1
9.0,6.0,2.0,9.0,1.0,1.0,1.0,3,0,23,1
9.0,2.0,2.0,7.0,2.0,1.0,8.0,3,0,25,1
9.0,6.0,1.0,10.0,1.0,4.0,1.0,2,0,12,1
9.0,6.0,1.0,7.0,1.0,1.0,1.0,1,0,1,1
9.0,1.0,2.0,9.0,1.0,5.0,2.0,1,0,20,1
9.0,5.0,1.0,9.0,1.0,1.0,1.0,3,0,23,1
9.0,5.0,1.0,1.0,1.0,4.0,1.0,3,0,31,1
9.0,5.0,2.0,3.0,1.0,1.0,1.0,0,1,32,3
9.0,6.0,2.0,4.0,1.0,1.0,5.0,1,0,26,4
9.0,2.0,2.0,6.0,1.0,1.0,1.0,3,0,16,2
9.0,5.0,2.0,4.0,1.0,1.0,1.0,1,0,0,2
9.0,6.0,2.0,1.0,1.0,4.0,1.0,3,1,13,1
9.0,5.0,2.0,8.0,1.0,1.0,1.0,0,0,29,4
9.0,1.0,1.0,1.0,1.0,6.0,2.0,2,1,27,2
9.0,5.0,1.0,4.0,1.0,1.0,1.0,1,0,8,3
9.0,5.0,2.0,7.0,1.0,1.0,1.0,0,0,22,4
9.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,2,1
2.0,1.0,1.0,6.0,1.0,1.0,1.0,1,0,0,1
9.0,6.0,2.0,4.0,1.0,1.0,1.0,4,1,3,1
9.0,6.0,1.0,8.0,1.0,1.0,1.0,1,1,17,3
9.0,2.0,1.0,4.0,1.0,4.0,1.0,3,0,26,3
9.0,3.0,2.0,4.0,1.0,1.0,1.0,0,0,4,1
9.0,2.0,1.0,7.0,2.0,6.0,2.0,0,0,12,1
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,18,3
9.0,5.0,1.0,6.0,1.0,1.0,1.0,1,0,28,4
9.0,5.0,1.0,10.0,1.0,1.0,1.0,3,0,11,0
9.0,1.0,2.0,8.0,1.0,1.0,1.0,0,0,6,2
9.0,1.0,1.0,9.0,2.0,1.0,1.0,3,0,32,2
9.0,5.0,1.0,8.0,1.0,1.0,1.0,0,0,6,3
97.0,5.0,1.0,8.0,1.0,1.0,1.0,1,0,32,3
9.0,2.0,1.0,6.0,1.0,1.0,1.0,3,0,28,1
9.0,5.0,1.0,6.0,3.0,1.0,1.0,1,0,19,2
9.0,6.0,2.0,1.0,1.0,4.0,1.0,3,0,17,1
9.0,6.0,1.0,4.0,1.0,1.0,1.0,1,1,6,2
9.0,1.0,1.0,2.0,1.0,1.0,1.0,3,0,0,3
9.0,5.0,2.0,8.0,1.0,1.0,1.0,1,1,5,2
9.0,1.0,2.0,10.0,1.0,1.0,1.0,1,0,0,3
9.0,5.0,2.0,1.0,1.0,1.0,1.0,1,1,20,2
9.0,5.0,2.0,1.0,1.0,1.0,1.0,3,1,1,2
9.0,5.0,2.0,4.0,1.0,1.0,1.0,0,0,11,3
9.0,6.0,1.0,3.0,1.0,1.0,1.0,0,0,1,3
9.0,2.0,1.0,4.0,1.0,1.0,1.0,3,0,32,2
9.0,5.0,1.0,1.0,1.0,1.0,1.0,1,1,29,2
9.0,6.0,2.0,1.0,1.0,1.0,8.0,1,1,0,1
9.0,6.0,1.0,5.0,1.0,1.0,2.0,0,0,32,4
3.0,5.0,1.0,1.0,1.0,1.0,1.0,1,0,17,1
5.0,5.0,1.0,1.0,1.0,1.0,1.0,1,1,19,3
9.0,5.0,1.0,2.0,1.0,1.0,1.0,3,0,32,1
